PCName,MAC_AddressEthernet,IPAddressEthernet,MAC_AddressWifi,IPAddressWifi,Drive,Drive_Size,Used_Drive,RAM Manufacturer,RAM PartNumber,RAM,RamType,RAMSizeGB,CPUModel,GPU,IGPU,OS,OSVersion
DESKTOP-SC95KCB,FC-34-97-DE-43-05,192.168.0.227,EC-2E-98-E3-5F-7F,169.254.131.83,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,331.58;427.85,Samsung; Kingston,M471A1G44AB0-CWE; 9905711-039.A00G,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Intel(R) UHD Graphics,Microsoft Windows 11 Pro,10.0.22631
DESKTOP-SC95KCB,FC-34-97-DE-43-05,192.168.0.227,EC-2E-98-E3-5F-7F,169.254.131.83,NVMe SAMSUNG MZVLQ512HBLU-00B00;NVMe Samsung SSD 970 EVO Plus 500GB,465.75;475.93,331.58;427.85,Samsung; Kingston,M471A1G44AB0-CWE; 9905711-039.A00G,SODIMM,DDR4,2x8 GB,11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,NVIDIA GeForce RTX 3050 Ti Laptop GPU,Intel(R) UHD Graphics,Microsoft Windows 11 Pro,10.0.22631
